Index	Description	nuclei....in.nuclei	nuclei....in.green	nuclei....in.red	nuclei....in.black	Main.nuclei.total_intensity_DCP1A_P.bodies.Mean	Main.nuclei.mean_intensity_DCP1A_P.bodies.Mean	Main.nuclei.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.nuclei.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.nuclei.total_intensity_DCP1A_cytoplasm.Mean	Main.nuclei.mean_intensity_DCP1A_cytoplasm.Mean	Main.nuclei.total_intensity_P.bodies_all.Mean	Main.nuclei.mean_intensity_P.bodies_all.Mean	Main.nuclei.P.bodies_count.Mean	Main.nuclei.P.bodies.nuc_count.Mean	Main.green.total_intensity_DCP1A_P.bodies.Mean	Main.green.mean_intensity_DCP1A_P.bodies.Mean	Main.green.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.green.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.green.total_intensity_DCP1A_cytoplasm.Mean	Main.green.mean_intensity_DCP1A_cytoplasm.Mean	Main.green.total_intensity_P.bodies_all.Mean	Main.green.mean_intensity_P.bodies_all.Mean	Main.green.P.bodies_count.Mean	Main.green.P.bodies.nuc_count.Mean	Main.red.total_intensity_DCP1A_P.bodies.Mean	Main.red.mean_intensity_DCP1A_P.bodies.Mean	Main.red.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.red.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.red.total_intensity_DCP1A_cytoplasm.Mean	Main.red.mean_intensity_DCP1A_cytoplasm.Mean	Main.red.total_intensity_P.bodies_all.Mean	Main.red.mean_intensity_P.bodies_all.Mean	Main.red.P.bodies_count.Mean	Main.red.P.bodies.nuc_count.Mean	Main.black.total_intensity_DCP1A_P.bodies.Mean	Main.black.mean_intensity_DCP1A_P.bodies.Mean	Main.black.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.black.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.black.total_intensity_DCP1A_cytoplasm.Mean	Main.black.mean_intensity_DCP1A_cytoplasm.Mean	Main.black.total_intensity_P.bodies_all.Mean	Main.black.mean_intensity_P.bodies_all.Mean	Main.black.P.bodies_count.Mean	Main.black.P.bodies.nuc_count.Mean	X
1	A1	769	395	323	28	5409	280	909.3	13.25	112800	52.79	6318	157.3	1.501	0.7828	3935	242.8	1271	18.74	124500	57.13	5206	132.1	1.033	0.7696	7270	336.2	536.3	7.643	100400	49.35	7807	191.3	2.062	0.7585	3775	164.5	432.6	5.011	60750	26.88	4208	131.6	1.179	1.143	NA
2	A2	942	397	526	4	8057	360.5	857.6	11.88	167000	79.31	8914	195.9	2.122	0.9098	5298	290.1	1336	18.13	197400	87.83	6634	140.5	1.38	0.995	10100	415.5	506.9	7.288	145500	72.79	10600	239.8	2.677	0.8327	4769	251	764.8	7.99	50180	45.4	5534	47.48	0.75	2	NA
3	A3	292	141	137	11	5787	298.2	939.7	12.37	126000	62.32	6727	175.1	1.726	0.8048	4974	288.5	1377	17.35	139700	70.37	6351	151.1	1.39	0.9007	6725	308	558.5	8.203	116100	56.87	7283	193	2.131	0.7299	5473	315.1	192.5	1.943	76370	31.97	5666	270.5	1.273	0.4545	NA
4	A4	357	140	198	3	6333	291.3	895.2	12.4	156400	73.92	7228	161.8	1.804	0.8599	4494	266.6	1171	15.39	184300	87.9	5665	151.7	1.364	0.8929	7705	316.9	727.9	10.64	137500	63.35	8433	174.7	2.131	0.8485	0	0	489.3	8.092	20000	24.42	489.3	8.092	0	0.6667	NA
5	A5	290	186	90	3	4245	212.3	1081	14.72	88750	80.51	5326	116.8	1.39	0.8931	3346	191.7	1407	18.39	102400	92.09	4753	97.66	1.07	0.9516	6454	266.2	514.2	8.376	70000	62.55	6969	165.6	2.144	0.7889	285.3	57.07	220	2.268	17250	35.9	505.3	5.003	0.3333	0.6667	NA
6	A6	806	349	384	52	5133	263.6	850.7	11.45	101500	46.43	5984	143.8	1.417	0.8648	2423	162.8	1422	18.89	113900	51.07	3845	90.81	0.6934	0.914	7513	353.1	425.8	5.868	96000	45.33	7939	191	2.078	0.8021	5716	290.6	303.1	4.869	63930	27.24	6019	138.4	1.423	1.096	NA
7	A7	469	183	269	10	6160	326.5	825.4	11.64	120700	56.11	6986	176.9	1.676	0.8657	3521	215.7	1138	15.61	133800	62.58	4659	122.8	1.158	0.8634	8170	406.5	628.6	9.183	115300	53.24	8799	215.7	2.086	0.8513	2998	219	544.2	6.044	52690	33.05	3542	122.3	1	1.3	NA
8	A8	264	123	126	2	5344	273.2	914.5	13.05	129300	64.53	6258	157.5	1.523	0.8523	5509	272.1	1153	17.11	127100	70.54	6662	162.6	1.341	0.9675	4885	256.9	614.3	8.454	121100	55.5	5500	148.2	1.627	0.7222	8820	409.6	0	0	28410	30.45	8820	409.6	2.5	0	NA
9	A9	353	144	182	7	5364	275	916.6	13.57	130000	60.37	6280	148.9	1.487	0.8074	4625	239.9	1184	17.45	156000	66.94	5809	123	1.104	0.875	5382	277.5	720.8	11.27	108500	53.85	6102	149.9	1.709	0.7527	4351	298.5	336.4	3.918	76560	29.28	4687	239.1	1	0.5714	NA
10	A10	357	131	200	12	5576	259.1	883.2	11.56	126100	59.03	6459	123.5	1.754	0.8459	3852	220.9	1226	15.93	139200	63.53	5078	88.43	1.099	0.9389	6742	290.6	718.3	9.529	109800	55.24	7460	150	2.17	0.805	4934	247.2	354.9	4.057	75940	34.37	5289	97.85	1.417	0.8333	NA
