Object.ID	Circularity.Factor	Mean.Intensity.EGFP	Mean.Intensity.mCherry	Area	Position	P.bodies..Counts	P.bodies.nuc..Counts	total_intensity_DCP1A_P.bodies	mean_intensity_DCP1A_P.bodies	total_intensity_DCP1A_P.bodies.nuc	mean_intensity_DCP1A_P.bodies.nuc	total_intensity_DCP1A_cytoplasm	mean_intensity_DCP1A_cytoplasm	total_intensity_P.bodies_all	mean_intensity_P.bodies_all	P.bodies_count	P.bodies.nuc_count	Parent.Object.ID..Well.	Parent.Trace.ID	black	green	nuclei	red
15921	1.0606709	357.30011	164.96356	1043	2	0	1	0	0	883	18.020408	166244	83.876892	883	18.020408	0	1	43	-1	0	1	1	0
191333	1.0509186	324.04303	200.09155	1278	3	1	0	3743	534.71429	0	0	24056	26.062839	3743	534.71429	1	0	337	-1	0	0	1	1
167037	1.053448	303.71002	183.97301	2038	2	3	2	8571	408.14286	384.00001	4.0851065	213436	53.146414	8955	78.552632	3	2	273	-1	0	1	1	0
148149	1.0397252	233.16299	180.9505	2000	9	0	2	0	0	574	6.6744186	59937	15.991729	574	6.6744186	0	2	242	-1	0	0	1	1
38243	1.042322	376.707	172.65831	1355	2	0	0	0	0	0	0	21412	19.465455	0	0	0	0	69	-1	0	1	1	0
198167	1.0303065	317.36887	167.96895	2158	3	2	2	1750	175	1321	18.871429	303096	74.142857	3071	38.873418	2	2	351	-1	0	1	1	0
139668	1.0852939	249.57916	238.53528	2438	9	5	2	32969	804.12195	574	6.2391304	12300	9.8242812	33543	254.11364	5	2	225	-1	0	0	1	1
215345	1.0414053	408.1185	241.36041	3840	7	0	1	0	0	310	7.75	45817.001	24.553591	310	7.75	0	1	362	-1	0	0	0	0
149733	1.023954	378.16269	167.24048	1260	9	0	0	0	0	0	0	191200	71.530116	0	0	0	0	247	-1	0	1	1	0
132485	1.1101151	351.73203	241.31372	153	9	4	0	7682	320.08333	0	0	53483	76.513591	7682	320.08333	4	0	238	-1	0	0	0	0
75513	1.0257265	242.32056	211.34184	1644	1	0	1	0	0	448	7	65432.996	19.14365	448	7	0	1	130	-1	0	0	1	1
37552	1.0529206	234.00954	183.60912	944	1	0	1	0	0	174	5.6129032	7232	9.7861976	174	5.6129032	0	1	68	-1	0	0	1	1
21839	1.0641102	319.28165	186.23875	1445	1	0	0	0	0	0	0	18543	25.682825	0	0	0	0	30	-1	0	1	1	0
42025	1.0254764	373.02133	205.51225	1265	4	2	1	3955	304.23077	1341	8.5414013	225791.02	77.009214	5296	31.337278	2	1	94	-1	0	0	1	1
149747	1.0525589	473.71176	164.90065	1530	9	0	0	0	0	0	0	581737	146.71803	0	0	0	0	247	-1	0	1	1	0
191201	1.0654344	370.21185	212.73996	1619	2	2	1	2883	151.73684	871	13.4	220665	137.05901	3754	45.228916	2	1	337	-1	0	0	1	1
102080	1.1977099	381.18848	178.14349	3401	5	6	2	18781	399.59574	4578.9998	54.511902	418971.97	90.903009	23360	179.69231	6	2	187	-1	0	0	0	0
85314	1.0329191	373.57364	168.96391	1358	8	0	1	0	0	286	7.15	81649	66.761243	286	7.15	0	1	145	-1	0	1	1	0
57906	1.1024922	329.11081	174.28748	1868	5	0	1	0	0	723	18.075	248526.98	57.080153	723	18.075	0	1	103	-1	0	1	1	0
201827	1.1320556	323.84094	179.39052	3923	1	4	3	87505	1944.5556	873	8.8181818	147437	81.411927	88378	618.02797	4	3	358	-1	0	0	0	0
115027	1.0924877	261.01166	173.01443	1802	5	6	2	45704	1015.6444	652	6.4554455	112324	64.964719	46356	319.69655	6	2	168	-1	1	0	1	0
107049	1.0849287	316.34811	175.05914	1623	8	4	0	10812	491.45455	0	0	69400.998	45.360129	10812	491.45455	4	0	180	-1	0	1	1	0
157694	1.0949297	323.94342	164.73102	1502	7	0	2	0	0	1331	14.010526	29174	34.00233	1331	14.010526	0	2	262	-1	0	1	1	0
195187	1.1358757	664.95148	167.72371	1607	9	7	0	44928	880.94118	0	0	394220	109.02102	44928	880.94118	7	0	344	-1	0	1	1	0
123548	1.0489713	370.90393	169.35341	1395	9	0	3	0	0	12289	87.156028	210099	70.432115	12289	87.156028	0	3	205	-1	0	1	1	0
14027	1.0516818	357.52423	218.4131	1053	2	2	0	6608	472	0	0	108397	118.85636	6608	472	2	0	46	-1	0	0	1	1
202719	1.0821694	290.70224	220.2933	2915	8	1	0	31757	2442.8462	0	0	271170	57.064394	31757	2442.8462	1	0	358	-1	0	0	0	0
64282	1.0446918	245.82951	204.97844	1484	9	1	0	5405	772.14286	0	0	127637.01	35.513914	5405	772.14286	1	0	114	-1	0	0	1	1
